timestamp_sec,type,traffic(MB)
1711662443,R,33.203125
1711662443,W,213.77734375
1711662444,R,42.76953125
1711662444,W,205.09765625
1711662445,R,18.390625
1711662445,W,229.9140625
1711662446,R,18.78515625
1711662446,W,229.13671875
1711662447,R,39.671875
1711662447,W,209.078125
1711662448,R,19.09375
1711662448,W,228.8125
1711662449,R,12.0
1711662449,W,235.83203125
1711662450,R,18.25
1711662450,W,229.84765625
1711662451,R,25.75
1711662451,W,222.1015625
1711662452,R,48.59375
1711662452,W,199.3359375
1711662453,R,21.48046875
1711662453,W,226.72265625
1711662454,R,29.14453125
1711662454,W,219.1484375
1711662455,R,18.5703125
1711662455,W,229.3359375
1711662456,R,31.0546875
1711662456,W,217.03125
1711662457,R,22.390625
1711662457,W,225.859375
1711662458,R,8.9921875
1711662458,W,238.86328125
1711662459,R,22.3828125
1711662459,W,224.7578125
1711662460,R,20.9765625
1711662460,W,227.3359375
1711662461,R,12.0
1711662461,W,235.98046875
1711662462,R,8.01171875
1711662462,W,240.40234375
1711662463,R,46.23828125
1711662463,W,201.66796875
1711662464,R,59.52734375
1711662464,W,189.16796875
1711662465,R,56.0
1711662465,W,191.25390625
1711662466,R,59.8125
1711662466,W,187.8515625
1711662467,R,14.8671875
1711662467,W,233.32421875
1711662468,R,2.87890625
1711662468,W,245.2265625
1711662469,R,2.48828125
1711662469,W,245.390625
1711662470,R,0.0
1711662470,W,247.6015625
1711662471,R,13.14453125
1711662471,W,199.89453125
1711662472,R,0.0
1711662472,W,283.50390625
1711662473,R,19.37890625
1711662473,W,228.44921875
1711662474,R,0.03515625
1711662474,W,247.9375
1711662475,R,0.07421875
1711662475,W,247.6875
1711662476,R,0.015625
1711662476,W,248.73828125
1711662477,R,0.015625
1711662477,W,246.71484375
1711662478,R,0.0078125
1711662478,W,249.046875
1711662479,R,0.01953125
1711662479,W,246.53125
1711662480,R,0.0
1711662480,W,249.35546875
1711662481,R,0.0
1711662481,W,247.0234375
1711662482,R,0.0
1711662482,W,249.4296875
1711662483,R,0.0
1711662483,W,247.546875
1711662484,R,0.54296875
